"","EMD_CD","EMD_ENG_NM","EMD_KOR_NM","id"
"200","1120010300","Hongik-dong","홍익동",200
"201","1120010400","Doseon-dong","도선동",201
"202","1120010500","Majang-dong","마장동",202
"203","1120010600","Sageun-dong","사근동",203
"204","1120010700","Haengdang-dong","행당동",204
"205","1120010800","Eungbong-dong","응봉동",205
"206","1120010900","Geumho-dong1(il)-ga","금호동1가",206
"207","1120011000","Geumho-dong2(i)-ga","금호동2가",207
"208","1120011100","Geumho-dong3(sam)-ga","금호동3가",208
"209","1120011200","Geumho-dong4(sa)-ga","금호동4가",209
"210","1120011300","Oksu-dong","옥수동",210
"211","1120011400","Seongsu-dong1(il)-ga","성수동1가",211
"212","1120011500","Seongsu-dong2(i)-ga","성수동2가",212
"213","1120011800","Songjeong-dong","송정동",213
"214","1120012200","Yongdap-dong","용답동",214
"215","1121510100","Junggok-dong","중곡동",215
"216","1121510200","Neung-dong","능동",216
"217","1121510300","Guui-dong","구의동",217
"218","1121510400","Gwangjang-dong","광장동",218
"219","1121510500","Jayang-dong","자양동",219
"220","1121510700","Hwayang-dong","화양동",220
"221","1121510900","Gunja-dong","군자동",221
"222","1123010100","Sinseol-dong","신설동",222
"223","1123010200","Yongdu-dong","용두동",223
"224","1123010300","Jegi-dong","제기동",224
"225","1123010400","Jeonnong-dong","전농동",225
"226","1123010500","Dapsipni-dong","답십리동",226
"227","1123010600","Jangan-dong","장안동",227
"228","1123010700","Cheongnyangni-dong","청량리동",228
"229","1123010800","Hoegi-dong","회기동",229
"230","1123010900","Hwigyeong-dong","휘경동",230
"231","1123011000","Imun-dong","이문동",231
"232","1126010100","Myeonmok-dong","면목동",232
"233","1126010200","Sangbong-dong","상봉동",233
"234","1126010300","Junghwa-dong","중화동",234
"235","1126010400","Muk-dong","묵동",235
"236","1126010500","Mangu-dong","망우동",236
"237","1126010600","Sinnae-dong","신내동",237
"238","1129010100","Seongbuk-dong","성북동",238
"239","1129010200","Seongbuk-dong 1(il)-ga","성북동1가",239
"240","1129010300","Donam-dong","돈암동",240
"241","1129010400","Dongsomun-dong 1(il)-ga","동소문동1가",241
"242","1129010500","Dongsomun-dong 2(i)-ga","동소문동2가",242
"243","1129010600","Dongsomun-dong 3(sam)-ga","동소문동3가",243
"244","1129010700","Dongsomun-dong 4(sa)-ga","동소문동4가",244
"245","1129010800","Dongsomun-dong 5(o)-ga","동소문동5가",245
"246","1129010900","Dongsomun-dong 6(yuk)-ga","동소문동6가",246
"247","1129011000","Dongsomun-dong 7(chil)-ga","동소문동7가",247
"248","1129011100","Samseon-dong 1(il)-ga","삼선동1가",248
"249","1129011200","Samseon-dong 2(i)-ga","삼선동2가",249
"250","1129011300","Samseon-dong 3(sam)-ga","삼선동3가",250
"251","1129011400","Samseon-dong 4(sa)-ga","삼선동4가",251
"252","1129011500","Samseon-dong 5(o)-ga","삼선동5가",252
"253","1129011600","Dongseon-dong 1(il)-ga","동선동1가",253
"254","1129011700","Dongseon-dong 2(i)-ga","동선동2가",254
"255","1129011800","Dongseon-dong 3(sam)-ga","동선동3가",255
"256","1129011900","Dongseon-dong 4(sa)-ga","동선동4가",256
"257","1129012000","Dongseon-dong 5(o)-ga","동선동5가",257
"258","1129012100","Anam-dong 1(il)-ga","안암동1가",258
"259","1129012200","Anam-dong 2(i)-ga","안암동2가",259
"260","1129012300","Anam-dong 3(sam)-ga","안암동3가",260
"261","1129012400","Anam-dong 4(sa)-ga","안암동4가",261
"262","1129012500","Anam-dong 5(o)-ga","안암동5가",262
"263","1129012600","Bomun-dong 4(sa)-ga","보문동4가",263
"264","1129012700","Bomun-dong 5(o)-ga","보문동5가",264
"265","1129012800","Bomun-dong 6(yuk)-ga","보문동6가",265
"266","1129012900","Bomun-dong 7(chil)-ga","보문동7가",266
"267","1129013000","Bomun-dong 1(il)-ga","보문동1가",267
"268","1129013100","Bomun-dong 2(i)-ga","보문동2가",268
"269","1129013200","Bomun-dong 3(sam)-ga","보문동3가",269
"270","1129013300","Jeongneung-dong","정릉동",270
"271","1129013400","Gireum-dong","길음동",271
"272","1129013500","Jongam-dong","종암동",272
"273","1129013600","Hawolgok-dong","하월곡동",273
"274","1129013700","Sangwolgok-dong","상월곡동",274
"275","1129013800","Jangwi-dong","장위동",275
"276","1129013900","Seokgwan-dong","석관동",276
"277","1130510100","Mia-dong","미아동",277
"278","1130510200","Beon-dong","번동",278
"279","1130510300","Suyu-dong","수유동",279
"280","1130510400","Ui-dong","우이동",280
"281","1132010500","Ssangmun-dong","쌍문동",281
"282","1132010600","Banghak-dong","방학동",282
"283","1132010700","Chang-dong","창동",283
"284","1132010800","Dobong-dong","도봉동",284
"285","1135010200","Wolgye-dong","월계동",285
"286","1135010300","Gongneung-dong","공릉동",286
"287","1135010400","Hagye-dong","하계동",287
"288","1135010500","Sanggye-dong","상계동",288
"289","1135010600","Junggye-dong","중계동",289
"290","1138010100","Susaek-dong","수색동",290
"291","1138010200","Nokbeon-dong","녹번동",291
"292","1138010300","Bulgwang-dong","불광동",292
"293","1138010400","Galhyeon-dong","갈현동",293
"294","1138010500","Gusan-dong","구산동",294
"295","1138010600","Daejo-dong","대조동",295
"296","1138010700","Eungam-dong","응암동",296
"297","1138010800","Yeokchon-dong","역촌동",297
"298","1138010900","Sinsa-dong","신사동",298
"299","1138011000","Jeungsan-dong","증산동",299
"300","1138011400","Jingwan-dong","진관동",300
"301","1141010100","Chungjeongno 2(i)-ga","충정로2가",301
"302","1141010200","Chungjeongno 3(sam)-ga","충정로3가",302
"303","1141010300","Hap-dong","합동",303
"304","1141010400","Migeun-dong","미근동",304
"305","1141010500","Naengcheon-dong","냉천동",305
"306","1141010600","Cheonyeon-dong","천연동",306
"307","1141010700","Okcheon-dong","옥천동",307
"308","1141010800","Yeongcheon-dong","영천동",308
"309","1141010900","Hyeonjeo-dong","현저동",309
"310","1141011000","Bugahyeon-dong","북아현동",310
"311","1141011100","Hongje-dong","홍제동",311
"312","1141011200","Daehyeon-dong","대현동",312
"313","1141011300","Daesin-dong","대신동",313
"314","1141011400","Sinchon-dong","신촌동",314
"315","1141011500","Bongwon-dong","봉원동",315
"316","1141011600","Changcheon-dong","창천동",316
"317","1141011700","Yeonhui-dong","연희동",317
"318","1141011800","Hongeun-dong","홍은동",318
"319","1141011900","Bukgajwa-dong","북가좌동",319
"320","1141012000","Namgajwa-dong","남가좌동",320
"321","1144010100","Ahyeon-dong","아현동",321
"322","1144010200","Gongdeok-dong","공덕동",322
"323","1144010300","Singongdeok-dong","신공덕동",323
"324","1144010400","Dohwa-dong","도화동",324
"325","1144010500","Yonggang-dong","용강동",325
"326","1144010600","Tojeong-dong","토정동",326
"327","1144010700","Mapo-dong","마포동",327
"328","1144010800","Daeheung-dong","대흥동",328
"329","1144010900","Yeomni-dong","염리동",329
"330","1144011000","Nogosan-dong","노고산동",330
"331","1144011100","Sinsu-dong","신수동",331
"332","1144011200","Hyeonseok-dong","현석동",332
"333","1144011300","Gusu-dong","구수동",333
"334","1144011400","Changjeon-dong","창전동",334
"335","1144011500","Sangsu-dong","상수동",335
"336","1144011600","Hajung-dong","하중동",336
"337","1144011700","Sinjeong-dong","신정동",337
"338","1144011800","Dangin-dong","당인동",338
"339","1144012000","Seogyo-dong","서교동",339
"340","1144012100","Donggyo-dong","동교동",340
"341","1144012200","Hapjeong-dong","합정동",341
"342","1144012300","Mangwon-dong","망원동",342
"343","1144012400","Yeonnam-dong","연남동",343
"344","1144012500","Seongsan-dong","성산동",344
"345","1144012600","Jung-dong","중동",345
"346","1144012700","Sangam-dong","상암동",346
"347","1147010100","Sinjeong-dong","신정동",347
"348","1147010200","Mok-dong","목동",348
"349","1147010300","Sinwol-dong","신월동",349
"350","1150010100","Yeomchang-dong","염창동",350
"351","1150010200","Deungchon-dong","등촌동",351
"352","1150010300","Hwagok-dong","화곡동",352
"353","1150010400","Gayang-dong","가양동",353
"354","1150010500","Magok-dong","마곡동",354
"355","1150010600","Naebalsan-dong","내발산동",355
"356","1150010700","Oebalsan-dong","외발산동",356
"357","1150010800","Gonghang-dong","공항동",357
"358","1150010900","Banghwa-dong","방화동",358
"359","1150011000","Gaehwa-dong","개화동",359
"360","1150011100","Gwahae-dong","과해동",360
"361","1150011200","Ogok-dong","오곡동",361
"362","1150011300","Osoe-dong","오쇠동",362
"363","1153010100","Sindorim-dong","신도림동",363
"364","1153010200","Guro-dong","구로동",364
"365","1153010300","Garibong-dong","가리봉동",365
"366","1153010600","Gocheok-dong","고척동",366
"367","1153010700","Gaebong-dong","개봉동",367
"368","1153010800","Oryu-dong","오류동",368
"369","1153010900","Gung-dong","궁동",369
"370","1153011000","Onsu-dong","온수동",370
"371","1153011100","Cheonwang-dong","천왕동",371
"372","1153011200","Hang-dong","항동",372
"373","1154510100","Gasan-dong","가산동",373
"374","1154510200","Doksan-dong","독산동",374
"375","1154510300","Siheung-dong","시흥동",375
"376","1156010100","Yeongdeungpo-dong","영등포동",376
"377","1156010200","Yeongdeungpo-dong 1(il)-ga","영등포동1가",377
"378","1156010300","Yeongdeungpo-dong 2(i)-ga","영등포동2가",378
"379","1156010400","Yeongdeungpo-dong 3(sam)-ga","영등포동3가",379
"380","1156010500","Yeongdeungpo-dong 4(sa)-ga","영등포동4가",380
"381","1156010600","Yeongdeungpo-dong 5(o)-ga","영등포동5가",381
"382","1156010700","Yeongdeungpo-dong 6(yuk)-ga","영등포동6가",382
"383","1156010800","Yeongdeungpo-dong 7(chil)-ga","영등포동7가",383
"384","1156010900","Yeongdeungpo-dong 8(pal)-ga","영등포동8가",384
"385","1156011000","Yeouido-dong","여의도동",385
"386","1156011100","Dangsan-dong 1(il)-ga","당산동1가",386
"387","1156011200","Dangsan-dong 2(i)-ga","당산동2가",387
"388","1156011300","Dangsan-dong 3(sam)-ga","당산동3가",388
"389","1156011400","Dangsan-dong 4(sa)-ga","당산동4가",389
"390","1156011500","Dangsan-dong 5(o)-ga","당산동5가",390
"391","1156011600","Dangsan-dong 6(yuk)-ga","당산동6가",391
"392","1156011700","Dangsan-dong","당산동",392
"393","1156011800","Dorim-dong","도림동",393
"394","1156011900","Mullae-dong 1(il)-ga","문래동1가",394
"395","1156012000","Mullae-dong 2(i)-ga","문래동2가",395
"396","1156012100","Mullae-dong 3(sam)-ga","문래동3가",396
"397","1156012200","Mullae-dong 4(sa)-ga","문래동4가",397
"398","1156012300","Mullae-dong 5(o)-ga","문래동5가",398
"399","1156012400","Mullae-dong 6(yuk)-ga","문래동6가",399
"400","1156012500","Yangpyeong-dong 1(il)-ga","양평동1가",400
"401","1156012600","Yangpyeong-dong 2(i)-ga","양평동2가",401
"402","1156012700","Yangpyeong-dong 3(sam)-ga","양평동3가",402
"403","1156012800","Yangpyeong-dong 4(sa)-ga","양평동4가",403
"404","1156012900","Yangpyeong-dong 5(o)-ga","양평동5가",404
"405","1156013000","Yangpyeong-dong 6(yuk)-ga","양평동6가",405
"406","1156013100","Yanghwa-dong","양화동",406
"407","1156013200","Singil-dong","신길동",407
"408","1156013300","Daerim-dong","대림동",408
"409","1156013400","Yangpyeong-dong","양평동",409
"410","1159010100","Noryangjin-dong","노량진동",410
"411","1159010200","Sangdo-dong","상도동",411
"412","1159010300","Sangdo 1(il)-dong","상도1동",412
"413","1159010400","Bon-dong","본동",413
"414","1159010500","Heukseok-dong","흑석동",414
"415","1159010600","Dongjak-dong","동작동",415
"416","1159010700","Sadang-dong","사당동",416
"417","1159010800","Daebang-dong","대방동",417
"418","1159010900","Sindaebang-dong","신대방동",418
"419","1162010100","Bongcheon-dong","봉천동",419
"420","1162010200","Sillim-dong","신림동",420
"421","1162010300","Namhyeon-dong","남현동",421
"422","1165010100","Bangbae-dong","방배동",422
"423","1165010200","Yangjae-dong","양재동",423
"424","1165010300","Umyeon-dong","우면동",424
"425","1165010400","Wonji-dong","원지동",425
"426","1165010600","Jamwon-dong","잠원동",426
"427","1165010700","Banpo-dong","반포동",427
"428","1165010800","Seocho-dong","서초동",428
"429","1165010900","Naegok-dong","내곡동",429
"430","1165011000","Yeomgok-dong","염곡동",430
"431","1165011100","Sinwon-dong","신원동",431
"432","1168010100","Yeoksam-dong","역삼동",432
"433","1168010300","Gaepo-dong","개포동",433
"434","1168010400","Cheongdam-dong","청담동",434
"435","1168010500","Samseong-dong","삼성동",435
"436","1168010600","Daechi-dong","대치동",436
"437","1168010700","Sinsa-dong","신사동",437
"438","1168010800","Nonhyeon-dong","논현동",438
"439","1168011000","Apgujeong-dong","압구정동",439
"440","1168011100","Segok-dong","세곡동",440
"441","1168011200","Jagok-dong","자곡동",441
"442","1168011300","Yulhyeon-dong","율현동",442
"443","1168011400","Irwon-dong","일원동",443
"444","1168011500","Suseo-dong","수서동",444
"445","1168011800","Dogok-dong","도곡동",445
"446","1171010100","Jamsil-dong","잠실동",446
"447","1171010200","Sincheon-dong","신천동",447
"448","1171010300","Pungnap-dong","풍납동",448
"449","1171010400","Songpa-dong","송파동",449
"450","1171010500","Seokchon-dong","석촌동",450
"451","1171010600","Samjeon-dong","삼전동",451
"452","1171010700","Garak-dong","가락동",452
"453","1171010800","Munjeong-dong","문정동",453
"454","1171010900","Jangji-dong","장지동",454
"455","1171011100","Bangi-dong","방이동",455
"456","1171011200","Ogeum-dong","오금동",456
"457","1171011300","Geoyeo-dong","거여동",457
"458","1171011400","Macheon-dong","마천동",458
"459","1174010100","Myeongil-dong","명일동",459
"460","1174010200","Godeok-dong","고덕동",460
"461","1174010300","Sangil-dong","상일동",461
"462","1174010500","Gil-dong","길동",462
"463","1174010600","Dunchon-dong","둔촌동",463
"464","1174010700","Amsa-dong","암사동",464
"465","1174010800","Seongnae-dong","성내동",465
"466","1174010900","Cheonho-dong","천호동",466
"467","1174011000","Gangil-dong","강일동",467
"468","2611010100","Yeongju-dong","영주동",468
"469","2611010200","Daechang-dong 1(il)-ga","대창동1가",469
"470","2611010300","Daechang-dong 2(i)-ga","대창동2가",470
"471","2611010400","Jungang-dong 1(il)-ga","중앙동1가",471
"472","2611010500","Jungang-dong 2(i)-ga","중앙동2가",472
"473","2611010600","Jungang-dong 3(sam)-ga","중앙동3가",473
"474","2611010700","Jungang-dong 4(sa)-ga","중앙동4가",474
"475","2611010800","Jungang-dong 5(o)-ga","중앙동5가",475
"476","2611010900","Jungang-dong 6(yuk)-ga","중앙동6가",476
"477","2611011000","Jungang-dong 7(chil)-ga","중앙동7가",477
"478","2611011100","Donggwang-dong 1(il)-ga","동광동1가",478
"479","2611011200","Donggwang-dong 2(i)-ga","동광동2가",479
"480","2611011300","Donggwang-dong 3(sam)-ga","동광동3가",480
"481","2611011400","Donggwang-dong 4(sa)-ga","동광동4가",481
"482","2611011500","Donggwang-dong 5(o)-ga","동광동5가",482
"483","2611011600","Daecheong-dong 1(il)-ga","대청동1가",483
"484","2611011700","Daecheong-dong 2(i)-ga","대청동2가",484
"485","2611011800","Daecheong-dong 3(sam)-ga","대청동3가",485
"486","2611011900","Daecheong-dong 4(sa)-ga","대청동4가",486
"487","2611012000","Bosu-dong 1(il)-ga","보수동1가",487
"488","2611012100","Bosu-dong 2(i)-ga","보수동2가",488
"489","2611012200","Bosu-dong 3(sam)-ga","보수동3가",489
"490","2611012300","Bupyeong-dong 1(il)-ga","부평동1가",490
"491","2611012400","Bupyeong-dong 2(i)-ga","부평동2가",491
"492","2611012500","Bupyeong-dong 3(sam)-ga","부평동3가",492
"493","2611012600","Bupyeong-dong 4(sa)-ga","부평동4가",493
"494","2611012700","Sinchang-dong 1(il)-ga","신창동1가",494
"495","2611012800","Sinchang-dong 2(i)-ga","신창동2가",495
"496","2611012900","Sinchang-dong 3(sam)-ga","신창동3가",496
"497","2611013000","Sinchang-dong 4(sa)-ga","신창동4가",497
"498","2611013100","Changseon-dong 1(il)-ga","창선동1가",498
"499","2611013200","Changseon-dong 2(i)-ga","창선동2가",499
"500","2611013300","Gwangbok-dong 1(il)-ga","광복동1가",500
"501","2611013400","Gwangbok-dong 2(i)-ga","광복동2가",501
"502","2611013500","Gwangbok-dong 3(sam)-ga","광복동3가",502
"503","2611013600","Nampo-dong 1(il)-ga","남포동1가",503
"504","2611013700","Nampo-dong 2(i)-ga","남포동2가",504
"505","2611013800","Nampo-dong 3(sam)-ga","남포동3가",505
"506","2611013900","Nampo-dong 4(sa)-ga","남포동4가",506
"507","2611014000","Nampo-dong 5(o)-ga","남포동5가",507
"508","2611014100","Nampo-dong 6(yuk)-ga","남포동6가",508
"509","2614010100","Dongdaesin-dong 1(il)-ga","동대신동1가",509
"510","2614010200","Dongdaesin-dong 2(i)-ga","동대신동2가",510
